"DC","RP406-03","2","184","RP406-03","10000","","406","01",
"DC","RP406-04","1","172","RP406-04","10000","","406","01",
"DC","RP406-04","2","185","RP406-04","10000","","406","01",
"DC","RP406-05","1","172","RP406-05","10000","","406","01",
"DC","RP406-05","2","186","RP406-05","10000","","406","01",
"DC","RP406-18","1","172","RP406-18","10000","","406","01",
"DC","RP406-18","2","488","RP406-18","10000","","406","01",
"DC","RPC1-1","1","PC1-102","RPC1-1","47","","402","01",
"DC","RPC1-1","2","236","RPC1-1","47","","402","01",
"DC","RPC1-2","1","PC1-101","RPC1-2","47","","402","01",
"DC","RPC1-2","2","238","RPC1-2","47","","402","01",
"DC","RPC1-3","1","PC1-101","RPC1-3","47","","402","01",
"DC","RPC1-3","2","260","RPC1-3","47","","402","01",
"DC","RSCR1","1","SCR1-02","RSCR1","1000","","401","01",
"DC","RSCR1","2","SCR1-01","RSCR1","1000","","401","01",
"DC","S1","A1","102","S1-A1","1","","402","04",
"DC","S1","A10","102","S1-A10","1","","402","04",
"DC","S1","A11","102","S1-A11","1","","402","01",
"DC","S1","A2","102","S1-A2","1","","402","01",
"DC","S1","A3","102","S1-A3","1","","402","01",
"DC","S1","A4","102","S1-A4","1","","402","01",
"DC","S1","A8","102","S1-A8","1","","402","04",
"DC","S1","A9","102","S1-A9","1","","402","04",
"DC","S1","B1","264","S1-A1","1","","402","04",
"DC","S1","B10","263","S1-A10","1","","402","04",
"DC","S1","B11","330","S1-A11","1","","402","01",
"DC","S1","B2","330","S1-A2","1","","402","01",
"DC","S1","B3","330","S1-A3","1","","402","01",
"DC","S1","B4","330","S1-A4","1","","402","01",
"DC","S1","B8","263","S1-A8","1","","402","04",
"DC","S1","B9","263","S1-A9","1","","402","04",
"DC","S1","C1","119","S1-C1","1","","402","01",
"DC","S1","C10","119","S1-C10","1","","402","01",
"DC","S1","C11","119","S1-C11","1","","402","04",
"DC","S1","C2","119","S1-C2","1","","402","03",
"DC","S1","C3","119","S1-C3","1","","402","04",
"DC","S1","C4","119","S1-C4","1","","402","03",
"DC","S1","C8","119","S1-C8","1","","402","04",
"DC","S1","C9","119","S1-C9","1","","402","04",
"DC","S1","D1","335","S1-C1","1","","402","01",
"DC","S1","D10","335","S1-C10","1","","402","01",
"DC","S1","D11","322","S1-C11","1","","402","04",
"DC","S1","D2","318","S1-C2","1","","402","03",
"DC","S1","D3","322","S1-C3","1","","402","04",
"DC","S1","D4","318","S1-C4","1","","402","03",
"DC","S1","D8","322","S1-C8","1","","402","04",
"DC","S1","D9","322","S1-C9","1","","402","04",
"DC","S1","E1","139","S1-E1","1","","402","02",
"DC","S1","E10","139","S1-E10","1","","402","03",
"DC","S1","E11","139","S1-E11","1","","402","04",
"DC","S1","E2","139","S1-E2","1","","402","04",
"DC","S1","E3","139","S1-E3","1","","402","03",
