"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"DC","ZPC1-20","K","0","ZPC1-20","8.2","",
"DC","ZPC1-21","A","260","ZPC1-21","8.2","",
"DC","ZPC1-21","K","0","ZPC1-21","8.2","",
"ITB","R401-01-01","1-4","105","R401-01-01","0.01","*DC",
"ITB","R401-01-01","6-4","154","R401-01-01","0.01","*SCR1",
"ITB","R401-01-02","1-3","104","R401-01-02","0.01","*DC",
"ITB","R401-01-02","6-3","249","R401-01-02","0.01","*SCR1",
"ITB","R401-01-03","2-4","122","R401-01-03","0.01","*DC",
"ITB","R401-01-03","6-4","154","R401-01-03","0.01","*SCR2",
"ITB","R401-01-04","2-3","121","R401-01-04","0.01","*DC",
"ITB","R401-01-04","6-3","249","R401-01-04","0.01","*SCR2",
"ITB","R401-01-05","3-4","141","R401-01-05","0.01","*DC",
"ITB","R401-01-05","6-4","154","R401-01-05","0.01","*SCR3",
"ITB","R401-01-06","3-3","140","R401-01-06","0.01","*DC",
"ITB","R401-01-06","6-3","249","R401-01-06","0.01","*SCR3",
"ITB","R401-01-07","4-4","162","R401-01-07","0.01","*DC",
"ITB","R401-01-07","6-4","154","R401-01-07","0.01","*SCR4",
"ITB","R401-01-08","4-3","161","R401-01-08","0.01","*DC",
"ITB","R401-01-08","6-3","249","R401-01-08","0.01","*SCR4",
"ITB","R401-01-09","1-15","SCR1-01","R401-01-09","0.01","*DC",
"ITB","R401-01-09","6-15","131","R401-01-09","0.01","*SCR1",
"ITB","R401-01-10","1-16","SCR1-02","R401-01-10","0.01","*DC",
"ITB","R401-01-10","6-16","0","R401-01-10","0.01","*SCR1",
"ITB","R401-01-11","2-15","132","R401-01-11","0.01","*DC",
"ITB","R401-01-11","6-15","131","R401-01-11","0.01","*SCR2",
"ITB","R401-01-12","2-16","n.c.","R401-01-12","0.01","*DC",
"ITB","R401-01-12","6-16","0","R401-01-12","0.01","*SCR2",
"ITB","R401-01-13","3-15","135","R401-01-13","0.01","*DC",
"ITB","R401-01-13","6-15","131","R401-01-13","0.01","*SCR3",
"ITB","R401-01-14","3-16","n.c.","R401-01-14","0.01","*DC",
"ITB","R401-01-14","6-16","0","R401-01-14","0.01","*SCR3",
"ITB","R401-01-15","4-15","169","R401-01-15","0.01","*DC",
"ITB","R401-01-15","6-15","131","R401-01-15","0.01","*SCR4",
"ITB","R401-01-16","4-16","n.c.","R401-01-16","0.01","*DC",
"ITB","R401-01-16","6-16","0","R401-01-16","0.01","*SCR4",
"ITB","R402-01-01","1-2","102","R402-01-01","0.01","*DC",
"ITB","R402-01-01","6-2","235","R402-01-01","0.01","*SCR1",
"ITB","R402-01-02","1-5","106","R402-01-02","0.01","*DC",
"ITB","R402-01-02","6-5","250","R402-01-02","0.01","*SCR1",
"ITB","R402-01-03","4-5","250","R402-01-03","0.01","*SCR2",
"ITB","R402-01-03","4-5","250","R402-01-03","0.01","*SCR1",
"ITB","R402-01-04","4-6","251","R402-01-04","0.01","*SCR2",
"ITB","R402-01-04","4-6","302","R402-01-04","0.01","*SCR1",
"ITB","R402-01-05","1-1","101","R402-01-05","0.01","*DC",
"ITB","R402-01-05","6-1","153","R402-01-05","0.01","*SCR1",
